Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
27365,623,43.51,4.71,-10.97,-0.05,2.69
27420,624,47.66,4.68,-10.65,0.00,3.30
27475,626,52.11,4.81,-10.54,0.10,3.42
27531,627,56.59,5.01,-10.57,0.05,0.61
27586,629,60.81,5.11,-10.43,0.00,3.18
27641,630,64.89,5.03,-10.18,-0.09,2.20
27696,632,69.60,4.94,-9.73,0.00,2.56
27751,633,74.68,5.17,-10.07,-0.05,4.03
27806,635,79.40,5.82,-10.54,0.05,4.28
27862,636,85.15,5.90,-11.11,0.00,3.66
27917,638,75.69,6.45,-12.20,-0.09,3.66
27972,639,65.19,6.71,-13.41,-0.05,2.81
28027,641,70.22,6.43,-13.28,0.05,2.81
28082,642,61.12,5.88,-12.85,0.10,5.37
28137,644,51.44,5.39,-12.47,0.00,2.93
28192,645,41.84,5.24,-12.02,-0.09,2.93
28248,647,31.72,5.41,-12.24,0.00,4.40
28303,648,37.21,5.72,-11.76,-0.05,1.22
28358,650,27.90,5.78,-11.33,0.10,4.89
28413,651,32.80,6.03,-11.33,0.10,1.46
28469,653,37.80,6.20,-10.77,0.10,0.61
28524,654,42.39,5.98,-10.38,-0.05,0.73
28579,656,46.86,5.62,-10.23,-0.05,0.61
28634,657,51.38,5.28,-9.76,-0.09,1.10
28689,659,56.23,5.25,-9.61,-0.05,3.79
28744,660,61.00,5.46,-9.94,-0.19,3.54
28800,662,65.91,6.38,-10.05,0.00,3.18
28861,664,70.56,6.82,-10.14,0.05,4.15
28916,665,76.27,6.97,-10.93,0.15,6.11
28972,667,81.93,7.26,-11.66,-0.14,3.42
29027,668,72.52,7.50,-12.75,-0.05,5.50
29082,670,62.01,7.56,-13.52,-0.09,5.86
29137,671,53.30,6.72,-13.44,-0.14,4.28
29192,673,44.61,5.90,-13.46,-0.09,5.37
29247,674,35.26,5.17,-13.13,-0.14,4.40
29302,676,26.66,5.00,-12.92,-0.19,5.62
29357,677,17.02,4.80,-13.03,-0.05,2.69
29412,679,22.32,5.29,-12.76,0.05,1.10
29467,680,28.23,5.28,-11.73,0.00,3.05
29522,682,19.32,5.65,-11.22,-0.09,3.30
29578,683,24.76,6.22,-11.12,-0.09,1.83
29633,685,30.60,6.90,-10.82,0.00,4.15
29688,686,36.55,6.95,-10.12,-0.05,1.71
29743,688,27.98,7.10,-9.97,0.05,1.34
29798,689,33.84,6.89,-10.01,-0.05,1.83
29853,691,39.00,7.05,-9.65,0.05,2.69
29908,692,45.11,7.32,-9.57,-0.09,2.93
29964,694,50.97,8.16,-9.75,-0.09,6.35
30019,695,56.53,8.43,-10.32,-0.14,3.79
30074,697,62.17,8.36,-11.76,-0.09,7.09
30129,698,66.80,8.22,-12.89,0.05,4.64
30184,700,73.40,7.42,-12.69,0.00,3.54
30239,701,64.18,6.83,-12.77,0.15,3.05
30295,703,54.83,6.95,-13.29,0.05,2.32
30356,705,45.36,6.51,-13.73,0.10,1.22
30411,706,36.29,6.31,-13.86,0.05,3.05
30466,708,27.63,5.88,-14.00,0.05,3.42
30521,709,18.81,5.64,-13.45,0.05,5.13
30576,711,10.13,5.20,-12.73,-0.29,5.86
30631,712,16.40,5.41,-11.53,-0.09,3.42
30687,714,23.01,5.51,-10.43,0.00,1.46
30742,715,28.53,6.11,-10.37,0.05,2.81
30797,717,33.74,5.70,-10.62,0.00,3.05
30852,718,39.46,6.43,-10.35,0.10,1.95
30907,720,44.77,6.19,-9.71,0.15,4.40
30962,721,49.80,6.17,-9.26,0.05,3.42
31017,723,41.02,6.22,-9.35,-0.14,1.22
31073,724,46.12,6.18,-9.46,0.00,2.20
31128,726,51.13,5.75,-8.92,0.00,1.83
31183,727,41.83,5.80,-8.69,0.05,3.18
31238,729,46.75,6.02,-9.13,-0.05,4.03
31293,730,52.28,7.07,-9.08,-0.05,3.79
31348,732,57.52,7.30,-9.52,0.10,6.47
31404,733,62.30,7.30,-10.35,0.15,4.40
31459,735,67.27,7.34,-10.86,0.00,4.40
31514,736,71.42,6.85,-11.28,-0.14,6.11
31569,738,76.01,6.79,-11.30,-0.14,3.91
31624,739,80.83,5.80,-11.17,-0.05,4.52
31679,741,85.30,5.39,-11.79,0.15,4.76
31734,742,89.04,5.13,-12.23,-0.14,2.93
31789,744,93.77,4.90,-12.16,0.05,1.34
31844,745,83.50,4.86,-12.09,0.05,1.34
31899,747,73.01,4.82,-12.56,0.10,1.22
31954,748,62.85,5.07,-13.34,0.10,2.08
32010,750,66.97,5.33,-13.24,0.05,4.52
32065,751,57.91,5.34,-12.15,0.10,2.20
32120,753,48.00,5.96,-11.43,-0.05,3.42
32175,754,38.56,5.65,-11.26,0.00,2.93
32230,756,43.14,6.17,-11.53,0.00,1.95
32285,757,48.10,6.17,-11.26,0.00,3.66
32340,759,38.58,5.89,-11.04,0.05,3.18
32396,760,29.74,6.03,-11.88,0.00,2.08
32451,762,35.75,6.23,-12.08,0.05,3.79
32506,763,41.71,6.64,-11.69,0.15,1.46
32561,765,33.01,6.55,-11.41,-0.05,1.34
32616,766,38.86,6.71,-11.21,0.05,1.83
32671,768,43.90,6.71,-11.52,-0.09,1.83
32727,769,48.82,6.35,-11.40,-0.05,1.71
32782,771,39.45,6.38,-11.19,-0.05,3.42
32837,772,30.73,6.10,-11.80,0.15,3.05
32892,774,36.83,6.02,-12.78,-0.09,7.09
32954,776,42.30,6.56,-13.51,-0.05,4.40
33009,777,47.56,6.53,-14.11,0.00,5.74
