Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
38616,323,4.57,5.48,15.87,-0.04,3.93
38673,325,4.57,5.48,15.87,0.06,1.12
38727,326,-2.83,5.38,15.87,-0.04,1.86
38782,328,3.77,5.13,15.55,0.01,2.83
38838,329,11.01,4.94,15.79,0.06,3.93
38893,331,18.29,5.67,15.71,0.11,4.54
38948,332,17.53,5.44,15.72,0.01,3.69
39002,334,24.27,5.28,14.89,0.11,5.77
39057,335,16.37,5.51,14.14,-0.14,4.42
39112,337,13.70,4.03,14.15,-0.04,7.23
39173,339,20.70,3.99,14.00,-0.04,4.91
39226,340,20.70,3.99,14.00,0.11,4.54
39278,342,20.70,3.99,14.00,-0.09,3.32
39332,343,27.40,3.89,13.83,-0.04,0.88
39387,345,19.62,3.71,13.39,0.01,0.39
39442,346,11.49,4.06,13.19,0.01,1.98
39497,348,4.34,3.59,12.81,-0.09,1.49
39550,349,4.34,3.59,12.81,0.06,4.54
39605,351,-3.04,3.49,12.81,0.01,3.45
39663,353,-3.04,3.49,12.81,0.01,2.10
39716,354,-3.04,3.49,12.81,-0.04,2.83
39768,356,-3.04,3.49,12.81,-0.09,4.42
39820,357,-3.04,3.49,12.81,-0.19,2.59
39872,359,-3.04,3.49,12.81,-0.04,2.10
39924,360,-3.04,3.49,12.81,0.11,3.81
39976,362,-3.04,3.49,12.81,0.06,1.86
40029,363,-3.04,3.49,12.81,0.16,4.42
40081,365,-3.04,3.49,12.81,0.01,1.86
40133,366,-3.04,3.49,12.81,0.20,1.49
40185,368,-3.04,3.49,12.81,-0.19,2.47
40239,369,4.50,2.78,12.62,0.20,2.47
40294,371,10.90,2.85,12.05,-0.09,4.54
40349,372,17.50,2.61,11.69,0.01,2.71
40404,374,24.39,2.61,11.58,0.06,8.09
40460,375,30.99,3.06,11.57,0.11,4.30
40515,377,36.53,3.28,11.11,0.01,4.30
40570,378,42.07,2.90,10.66,0.06,5.28
40625,380,47.42,3.06,10.50,-0.09,4.91
40680,381,53.12,2.85,10.52,-0.09,4.30
40735,383,44.42,2.25,10.63,-0.04,3.45
40791,384,36.27,1.70,10.38,-0.09,2.83
40846,386,42.22,1.92,10.13,0.11,1.73
40901,387,48.46,1.31,10.45,0.01,2.59
40956,389,39.64,1.56,10.57,-0.04,2.71
41018,391,45.63,1.22,10.52,0.20,2.59
41073,392,36.28,1.14,10.26,-0.14,2.35
41128,394,27.36,0.97,10.08,0.06,1.86
41184,395,18.72,1.21,9.67,0.06,3.81
41239,397,9.95,1.45,9.56,-0.09,5.16
41294,398,2.04,1.36,9.69,-0.09,3.69
41349,400,8.60,1.59,9.88,0.06,2.47
41404,401,15.24,1.08,10.12,-0.04,9.43
41459,403,20.02,-0.07,11.95,-0.04,4.42
41512,404,20.02,-0.07,11.95,0.06,2.47
41565,406,20.02,-0.07,11.95,0.06,0.27
41619,407,24.84,0.74,11.64,-0.09,1.86
41674,409,30.20,0.94,11.94,-0.09,2.35
41730,410,34.88,1.10,12.88,-0.09,2.71
41785,412,41.72,0.71,13.51,0.01,2.59
41840,413,47.10,0.33,13.45,0.06,2.83
41895,415,52.30,0.41,13.38,-0.09,4.06
41951,416,56.34,0.42,13.51,-0.04,2.96
42006,418,62.13,0.44,13.27,-0.04,4.67
42061,419,65.89,0.53,12.97,0.16,2.47
42116,421,70.29,0.92,12.94,0.06,2.47
42171,422,74.22,0.95,12.41,-0.09,2.22
42226,424,78.26,0.51,12.02,-0.14,1.49
42281,425,81.76,0.22,11.85,-0.04,1.98
42337,427,84.87,-0.19,11.84,0.06,4.67
42392,428,88.14,-0.46,12.51,-0.09,4.30
42447,430,91.25,0.06,12.95,-0.14,3.69
42502,431,94.14,0.53,12.96,0.11,5.40
42557,433,97.19,0.91,12.68,-0.09,6.01
42612,434,100.61,1.50,12.08,-0.09,5.28
42668,436,103.48,1.16,11.06,-0.09,7.23
