time_s,hip_fl_rad,knee_fl_rad,hip_fr_rad,knee_fr_rad,hip_rl_rad,knee_rl_rad,hip_rr_rad,knee_rr_rad,hip_fl_deg,knee_fl_deg,hip_fr_deg,knee_fr_deg,hip_rl_deg,knee_rl_deg,hip_rr_deg,knee_rr_deg
2.475,-1.09401231498783,1.48820443398601,-0.968470442910255,1.63230252221117,-1.00725536161638,1.56536476032127,-0.94319329473789,1.57495446059203,-62.6822883841393,85.2678331200539,-55.4892689619232,93.5240454112596,-57.7114811125418,89.6887941649164,-54.0409950535198,90.2382435172267
2.5,-1.11498944921861,1.46782411046234,-0.935736215533007,1.66266709199049,-0.983798670569076,1.57313318085587,-0.967016602554092,1.55739154853584,-63.8841896418427,84.1001265970364,-53.6137358875853,95.2638071063449,-56.3675117141893,90.1338918750319,-55.4059700454292,89.2319627804471
2.525,-1.13366548169197,1.44532997153943,-0.902554182962072,1.69254953782417,-0.958336635497278,1.57919646455345,-0.987106740817635,1.53548754371147,-64.9542474806153,82.8113073729729,-51.7125454656051,96.9759451341431,-54.9086445667612,90.4812924408937,-56.5570501777645,87.976955749577
2.55,-1.14611531933828,1.42082892583344,-0.868095269404953,1.72045425936322,-0.9256166189926,1.58382499751222,-0.995323574411938,1.506447543102,-65.6675706333721,81.4075008603622,-49.738195152176,98.5747679068183,-53.0339257154447,90.7464878447683,-57.0278400636794,86.3130862775969
2.575,-1.15698517462482,1.39739785953884,-0.834456464835645,1.74586020069286,-0.892774807440982,1.59321823683219,-0.995513992369156,1.48005190210534,-66.2903674652087,80.0649996521905,-47.8108336224892,100.030421119564,-51.152228521973,91.284680813759,-57.0387502089715,84.8007274509456
2.6,-1.16909397836301,1.37595669191226,-0.801610099656843,1.76709412295014,-0.860758000485339,1.60085931942673,-0.999928787676921,1.44842771446822,-66.9841508143595,78.8365112393549,-45.9288755253984,101.247035247415,-49.3178006099296,91.7224825973371,-57.2916993475206,82.9887949688089
2.625,-1.18300636854487,1.35622015620715,-0.769326551513211,1.78400503809145,-0.831244265910401,1.60857918802903,-1.0062274746277,1.41726363705307,-67.7812720547193,77.7056910412429,-44.0791644690609,102.215959312715,-47.6267881811163,92.1647984866445,-57.6525875262745,81.2032248605018
2.65,-1.19665317278169,1.33478331256006,-0.736483290757872,1.77870419074905,-0.808045645024307,1.61237079356626,-1.01326617836778,1.3864022375263,-68.5631763413299,76.4774503741829,-42.1973842423323,101.912243132153,-46.2976051138191,92.3820414815058,-58.0558755438239,79.4349969177509
2.675,-1.21049668551261,1.31441779549319,-0.708620364488343,1.76812200157954,-0.789625879879297,1.61392039355717,-1.01901892909859,1.35501369804758,-69.3563511944476,75.3105921986496,-40.6009561622041,101.305928354731,-45.2422303113878,92.4708270209187,-58.38548388129,77.6365660805407
2.7,-1.22437517460389,1.33824300526454,-0.741452581058941,1.76278034097668,-0.802389984295737,1.58636396034228,-1.0435187316407,1.33441255389071,-70.151530045396,76.675676164562,-42.4821036037589,100.999873746596,-45.9735596237141,90.8919596992712,-59.7892191658569,76.4562074672111
