time_s,hip_fl_deg,hip_fl_cmd,knee_fl_deg,knee_fl_cmd,hip_fr_deg,hip_fr_cmd,knee_fr_deg,knee_fr_cmd,hip_rl_deg,hip_rl_cmd,knee_rl_deg,knee_rl_cmd,hip_rr_deg,hip_rr_cmd,knee_rr_deg,knee_rr_cmd
8.4,143.589715614645,144,160,160,32.8985279768323,33,175.601115909215,176,22.5821638426025,23,167.736441358111,168,60.9577678938797,61,180,180
8.45,140.097719493714,140,160,160,29.2493395591235,29,173.282228612079,173,19.2715315503891,19,164.91203251761,165,61.0649201937269,61,180,180
8.5,136.317841689872,136,160,160,26.424328936139,26,171.121271170785,171,18.0742747466412,18,164.378906181457,164,61.1562127312232,61,180,180
8.55,137.810054819441,138,160,160,24.4323218603601,24,171.565815040115,172,17.5850917927597,18,166.30918829896,166,61.289182138591,61,180,180
8.6,140.218593005293,140,160,160,26.4641228847172,26,174.557455215304,175,18.7772171815724,19,169.686861787038,170,58.5241027243345,59,180,180
8.65,142.252356599815,142,160,160,30.197266342287,30,178.055601356123,178,21.2224270532618,21,173.110756390926,173,55.7611947960574,56,180,180
8.7,144.361714304677,144,160,160,33.9513618048747,34,180,180,23.9261847087981,24,175.156605907117,175,52.8642002311917,53,180,180
8.75,146.504219735786,147,160,160,37.6913738256077,38,180,180,25.7961769940593,26,173.15588481527,173,49.9474691726246,50,180,180
8.8,148.341009107136,148,160,160,41.29574516519,41,180,180,26.8850086242947,27,170.342993916166,170,46.9111752331905,47,180,180
8.85,150.025251871758,150,160,160,44.9333121365361,45,180,180,29.4313344218416,29,172.90143461929,173,49.6521160058296,50,180,180
8.9,151.930204022501,152,160,160,48.6022646520453,49,180,180,30.9395766197521,31,175.596110701874,176,52.7388929145292,53,180,180
8.95,153.386679924175,153,160,160,52.1429937886752,52,180,180,33.1193090923806,33,177.477769489675,177,50.6164671584897,51,179.010815464466,179
9,154.131440181259,154,160,160,55.1128382027609,55,180,180,34.2097384436764,34,175.512718905558,176,48.8129887109517,49,179.153682312759,179
9.05,154.565161365762,155,160,160,58.4043748622581,58,180,180,37.486610266614,37,177.63202889475,178,51.03338462986,51,178.499524509695,178
9.1,155.389815972712,155,160,160,58.5671055982958,59,180,180,38.7382079013483,39,177.739810621477,178,48.8079163581604,49,177.696644318503,178
9.15,155.986866213379,156,160,160,56.7196528875007,57,180,180,37.4858935480458,37,175.330129724341,175,47.9283908827616,48,177.99059319298,178
9.2,155.354461255116,155,160,160,53.7707155800539,54,180,180,35.0190306303108,35,173.74557863395,174,47.4867354989523,47,179.349588379405,179
9.25,153.669605456694,154,160,160,50.7727802959936,51,178.115238826163,178,32.0738349267056,32,172.318333395489,172,50.7983675670221,51,180,180
9.3,151.213967297847,151,160,160,47.5942555075391,48,176.02248496517,176,28.836068664031,29,170.754675425079,171,54.3052035167502,54,180,180
9.35,148.360567149718,148,160,160,44.2069059951573,44,173.906459070352,174,25.4010428231639,25,168.931342624534,169,57.7779835343199,58,180,180
9.4,145.260461304482,145,160,160,40.5857664858519,41,171.692165330736,172,21.7188914222963,22,166.810513114757,167,60.7974030776833,61,180,180
9.45,141.95878846575,142,160,160,36.7029825843027,37,169.33756802297,169,17.7888343902898,18,164.281964523794,164,61.2145365623177,61,180,180
9.5,138.494442964951,138,160,160,32.6631360265134,33,166.847651847391,167,13.2988233361211,13,164.005179069463,164,61.3433938549532,61,180,180
9.55,137.122653680303,137,160,160,29.6545243894777,30,165.582008203659,166,12.7226452386529,13,162.813402846075,163,60.4074710918118,60,180,180
9.6,139.39271456315,139,160,160,28.6892500128561,29,168.858412204011,169,14.1883996565788,14,165.248029226836,165,59.8277303291093,60,180,180
9.65,141.190230835193,141,160,160,32.1976585028158,32,172.297265769554,172,16.2994477395164,16,168.149752558632,168,57.3962078233853,57,180,180
9.7,142.887305738157,143,160,160,35.905985998815,36,175.799461153182,176,18.3835912298427,18,166.144684395811,166,54.8999367078476,55,180,180
9.75,144.742477770327,145,160,160,36.6930227747406,37,179.390690380796,179,19.611925329778,20,165.118809575509,165,52.9903977650794,53,180,180
9.8,146.729599315525,147,160,160,38.9312270710077,39,180,180,20.586903020679,21,166.922159728083,167,56.1610845087382,56,180,180
9.85,148.680694968606,149,160,160,42.2769433141106,42,180,180,21.1923905240424,21,169.31746866256,169,59.7078909865907,60,180,180
9.9,150.239239589244,150,160,160,45.2572674283469,45,180,180,22.1669214150998,22,171.198442979056,171,59.8573514966828,60,178.575133007264,179
9.95,151.052109432473,151,160,160,48.3086167467014,48,180,180,24.4205090581431,24,171.455757636729,171,57.8648752609045,58,177.555719342078,178
10,151.363012182509,151,160,160,50.4133615384119,50,180,180,26.0949508123899,26,170.666836883467,171,57.3756593192085,57,178.542213924454,179
